frase,classicacao
"se eu estragar tudo vai por água a baixo","raiva"
"não possuo dinheiro algum","raiva"
"sou muito pobre","raiva"
"vai prejudicar a todos esta nova medida","raiva"
"ficou ridículo","raiva"
"este sapato esta muito apertado","raiva"
"a musica e uma ofensa aos meus ouvidos","raiva"
"não consigo terminar uma tarefa muito difícil","raiva"
"reprovei em minha graduação","raiva"
"estou muito chateado com tudo","raiva"
"eu odeio em você","raiva"
"e um desprazer conhecê-lo","raiva"
"estou desperdiçando minhas ferias","raiva"
"e muito ruim este jogo","raiva"
"vamos ter muito rancor pela frente","raiva"
"não achei que seria tão terrível","raiva"
"vou vetar o orçamento ao cliente","raiva"
"meus pais não consentiram nosso casamento","raiva"
"eu odiei este perfume","raiva"
"seu descaso e frustrante","raiva"
"me sinto completamente amarga","raiva"
"desprezo muito o seu trabalho","raiva"
"estamos descontentes por nossa família","raiva"
"vou infernizar a sua empresa","raiva"
"estou furioso com estes valores","raiva"
"obrigaram o rapaz a sair","raiva"
"como ele pode deixar de lado?","raiva"
"são apenas injurias sobre mim","raiva"
"estou enfurecido com a situação dessa empresa","raiva"
"estou com o diabo no corpo","raiva"
"isso foi diabólico","raiva"
"tenho aversão à gente chata","raiva"
"não vou perdoar sua traição","raiva"
"esse dinheiro sujo e corrupto","raiva"
"eles me crucificam o tempo todo","raiva"
"eu vou enlouquecer com todo este barulho","raiva"
"não agüento todo esse assedio","raiva"
"cólera do dragão","raiva"
"isso e ridículo!","raiva"
"da próxima vez, vou inventar tudo sozinho","raiva"
"seus tolos! deixaram ele escapar!","raiva"
"jamais te perdoarei","raiva"
"o que e isso? outra multa","raiva"
"você passou dos limites!","raiva"
"sente-se e cale a boca","raiva"
"ingratosvermesvocês me pagam!","raiva"
"saiam da dai, se não arranco vocês dai!","raiva"
"você já me causou problemas suficientes","raiva"
"isso foi a gota d’agua","raiva"
"o que você tem com isso?","raiva"
"não vejo a hora de me livrar de você","raiva"
"já entendi a jogada seus safados!","raiva"
"você não merece piedade","raiva"
"saia de perto de mim","raiva"
"suma daqui, ou arranco seu couro!","raiva"
"estou revoltado com essa situação","raiva"
"seu idiota!","raiva"
"não, eu não vou te emprestar dinheiro!","raiva"
"você não passa de um cafajeste! vai embora","raiva"
"pare de frescura e vá trabalhar","raiva"
"eles merecem uma lição","raiva"
"ainda estou muito bravo com você","raiva"
"eu preciso surrar aquela chantagista","raiva"
"olha o que você fez! derramou!","raiva"
"você está pedindo pra apanhar!","raiva"
"me deixa em paz!","raiva"
"morra maldito, morra!","raiva"
"você e mais irritante de perto","raiva"
"e bom fechar o bico","raiva")
